top_prediction,times_as_false_positive_top1
identitycard,100
dbcitizen,51
citizen,38
adminmanager,34
dbidentitycard,24
passwordrecoveryservlet,23
dbresidencechange,21
editemployeeservlet,19
logoutservlet,18
accessmanager,16
citizenmanager,8
deleteadministratorservlet,7
administrator,7
insertadministratorservlet,6
loginservlet,6
dbadministrator,5
access,3
