top_prediction,times_as_false_positive_top1
viewcasesservlet,74
dbresidencechange,39
logoutservlet,27
passwordrecoveryservlet,25
loginservlet,25
adminmanager,24
dbidentitycard,23
access,19
familystatusservlet,18
createcertificatespdfservlet,18
identitycard,16
citizenmanager,15
showaccessaservlet,14
citizen,11
accessmanager,10
dbcitizen,9
editresidenceservlet,9
dbconnection,8
showaccessservlet,8
