model_a,model_b,t_stat,p_value,significant
sbert,bm25,0.3513501121268463,0.7272664188861188,False
codebert,sbert,-1.1586056426036706,0.2538465599501269,False
tfidf,bm25,-1.7042748788995867,0.09649480765182386,False
