model_a,model_b,t_stat,p_value,significant
sbert,bm25,3.5500207578830953,0.0007887455635437318,True
codebert,sbert,-7.005274136484417,3.3921017022568933e-09,True
tfidf,bm25,-0.5092461502621678,0.6125805635882831,False
