top_prediction,times_as_false_positive_top1
note,198
role,146
managerregister,108
servletshowuserteachingform,77
registerline,55
servletinsertaddress,39
servletshowteacherteachingformbyclass,38
servletshowuserdetails,32
userlistitem,31
servletshownotedetails,19
classroom,18
managervotes,17
manageruser,17
teaching,15
servletinsertnewnote,14
servletdeleteclassroom,7
servletupdatereport,6
servletlogout,5
