model_a,model_b,t_stat,p_value,significant
sbert,bm25,-4.242501226609763,7.047424007038895e-05,True
codebert,sbert,-0.926888068094701,0.3573617981924511,False
tfidf,bm25,-0.7953489473167613,0.429261679767545,False
